LATITUDE,LONGITUDE,HourlyPrecipitation,HourlyWindSpeed,DATES
40.77898,-73.96925,0.22,0.0,2009-01-18T00:16:00
40.77898,-73.96925,0.73,7.0,2009-01-18T00:51:00
40.77898,-73.96925,0.40,5.0,2009-01-18T01:51:00
40.77898,-73.96925,0.32,7.0,2009-01-18T02:51:00
40.77898,-73.96925,0.35,6.0,2009-01-18T03:51:00
40.77898,-73.96925,0.18,7.0,2009-01-18T04:51:00
40.77898,-73.96925,0.30,0.0,2009-01-18T05:51:00
40.77898,-73.96925,0.72,3.0,2009-01-18T06:51:00
40.77898,-73.96925,0.10,6.0,2009-01-18T07:14:00
40.77898,-73.96925,0.21,5.0,2009-01-18T07:23:00
40.77898,-73.96925,0.21,5.0,2009-01-18T07:51:00
40.77898,-73.96925,0.02,3.0,2009-01-18T08:05:00
40.77898,-73.96925,0.33,6.0,2009-01-18T08:43:00
40.77898,-73.96925,0.33,3.0,2009-01-18T08:51:00
40.77898,-73.96925,0.05,5.0,2009-01-18T09:02:00
40.77898,-73.96925,0.06,7.0,2009-01-18T09:05:00
40.77898,-73.96925,0.13,5.0,2009-01-18T09:37:00
40.77898,-73.96925,0.29,3.0,2009-01-18T09:51:00
40.77898,-73.96925,0.16,5.0,2009-01-18T10:51:00
40.77898,-73.96925,0.12,6.0,2009-01-18T11:51:00
40.77898,-73.96925,0.07,6.0,2009-01-18T12:51:00
40.77898,-73.96925,0.10,8.0,2009-01-18T13:51:00
40.77898,-73.96925,0,8.0,2009-01-28T01:18:00
40.77898,-73.96925,0.02,9.0,2009-01-28T01:51:00
40.77898,-73.96925,0,10.0,2009-01-28T02:04:00
40.77898,-73.96925,0,13.0,2009-01-28T02:24:00
40.77898,-73.96925,0.01,7.0,2009-01-28T02:51:00
40.77898,-73.96925,0.01,9.0,2009-01-28T03:06:00
40.77898,-73.96925,0.02,9.0,2009-01-28T03:31:00
40.77898,-73.96925,0.03,11.0,2009-01-28T03:38:00
40.77898,-73.96925,0.04,9.0,2009-01-28T03:51:00
40.77898,-73.96925,0.01,9.0,2009-01-28T04:13:00
40.77898,-73.96925,0.04,10.0,2009-01-28T04:51:00
40.77898,-73.96925,0.02,7.0,2009-01-28T05:10:00
40.77898,-73.96925,0.05,10.0,2009-01-28T05:51:00
40.77898,-73.96925,0.02,9.0,2009-01-28T06:16:00
40.77898,-73.96925,0.04,8.0,2009-01-28T06:39:00
40.77898,-73.96925,0.05,10.0,2009-01-28T06:46:00
40.77898,-73.96925,0.05,9.0,2009-01-28T06:51:00
40.77898,-73.96925,0.06,10.0,2009-01-28T07:51:00
40.77898,-73.96925,0.05,9.0,2009-01-28T08:17:00
40.77898,-73.96925,0.05,8.0,2009-01-28T08:19:00
40.77898,-73.96925,0.09,10.0,2009-01-28T08:46:00
40.77898,-73.96925,0.10,11.0,2009-01-28T08:51:00
40.77898,-73.96925,0.01,11.0,2009-01-28T09:02:00
40.77898,-73.96925,0.05,8.0,2009-01-28T09:29:00
40.77898,-73.96925,0.06,7.0,2009-01-28T09:39:00
40.77898,-73.96925,0.08,8.0,2009-01-28T09:48:00
40.77898,-73.96925,0.02,9.0,2009-01-28T10:00:00
40.77898,-73.96925,0.06,9.0,2009-01-28T10:19:00
40.77898,-73.96925,0.09,10.0,2009-01-28T10:37:00
40.77898,-73.96925,0.14,6.0,2009-01-28T10:51:00
40.77898,-73.96925,0.07,9.0,2009-01-28T11:33:00
40.77898,-73.96925,0.08,5.0,2009-01-28T11:44:00
40.77898,-73.96925,0.09,11.0,2009-01-28T11:51:00
40.77898,-73.96925,0.01,9.0,2009-01-28T12:07:00
40.77898,-73.96925,0.06,10.0,2009-01-28T12:51:00
40.77898,-73.96925,0.01,9.0,2009-01-28T13:04:00
40.77898,-73.96925,0.02,10.0,2009-01-28T13:16:00
40.77898,-73.96925,0.02,5.0,2009-01-28T13:26:00
40.77898,-73.96925,0.02,7.0,2009-01-28T13:51:00
40.77898,-73.96925,0.01,6.0,2009-01-28T14:51:00
40.77898,-73.96925,0.01,6.0,2009-01-28T15:38:00
40.77898,-73.96925,0.01,7.0,2009-01-28T15:46:00
40.77898,-73.96925,0.01,5.0,2009-01-28T15:51:00
40.77898,-73.96925,0.11,5.0,2009-01-28T16:36:00
40.77898,-73.96925,0.12,13.0,2009-01-28T16:51:00
40.77898,-73.96925,0,6.0,2009-01-28T16:54:00
40.77898,-73.96925,0.01,3.0,2009-01-28T17:03:00
40.77898,-73.96925,0.03,5.0,2009-01-28T17:10:00
